ccy,date,rate
CHF,2005-12-12,0.7750135627373479
CNY,2005-12-12,0.12387736141220193
CZK,2005-12-12,0.04113550446525902
DKK,2005-12-12,0.16046470578796193
EUR,2005-12-12,1.1954980503367598
GBP,2005-12-12,1.7724211272598367
HKD,2005-12-12,0.12896236878078976
HUF,2005-12-12,0.004709823089625107
ILS,2005-12-12,0.21715526601520085
INR,2005-12-12,0.0217296827466319
JPY,2005-12-12,0.008333333333333333
KRW,2005-12-12,0.0009673986649898422
MYR,2005-12-12,0.2648305084745763
NOK,2005-12-12,0.1507249871883761
NZD,2005-12-12,0.7104795737122558
PLN,2005-12-12,0.3126856571089084
RUB,2005-12-12,0.034800765616843574
SAR,2005-12-12,0.2666382252559727
SEK,2005-12-12,0.12649101281353958
SGD,2005-12-12,0.5953444067392987
THB,2005-12-12,0.024257125530624615
TRY,2005-12-12,0.7404664938911514
TWD,2005-12-12,0.0298035943134742
USD,2005-12-12,1.0
ZAR,2005-12-12,0.1577784790154623
AUD,2005-12-13,0.7543753771876887
CAD,2005-12-13,0.8685079034219212
CHF,2005-12-13,0.772499034376207
CNY,2005-12-13,0.12387275790308196
CZK,2005-12-13,0.041168188517368864
DKK,2005-12-13,0.1601768352260896
EUR,2005-12-13,1.193240134489471
GBP,2005-12-13,1.7695983011856309
HKD,2005-12-13,0.12897234832851834
HUF,2005-12-13,0.004715295191624881
ILS,2005-12-13,0.21753317380900586
INR,2005-12-13,0.02171552660152009
JPY,2005-12-13,0.008329862557267805
KRW,2005-12-13,0.0009746588693957113
MYR,2005-12-13,0.26490066225165565
NOK,2005-12-13,0.15019525382997898
NZD,2005-12-13,0.7073136228603764
PLN,2005-12-13,0.3107616768700084
RUB,2005-12-13,0.034792290028529675
SAR,2005-12-13,0.2666382252559727
SEK,2005-12-13,0.1263695297789797
SGD,2005-12-13,0.5976214665630789
THB,2005-12-13,0.02430428970713331
TRY,2005-12-13,0.7422251911229868
TWD,2005-12-13,0.0298538653292135
USD,2005-12-13,1.0
ZAR,2005-12-13,0.15891934843067146
AUD,2005-12-14,0.7568876778686043
CAD,2005-12-14,0.8687342541916427
CHF,2005-12-14,0.7806401249024201
CNY,2005-12-14,0.12387582687114435
CZK,2005-12-14,0.04152720447164938
DKK,2005-12-14,0.16145177435500016
EUR,2005-12-14,1.202908832919475
GBP,2005-12-14,1.7736786094359702
HKD,2005-12-14,0.12898066579819684
HUF,2005-12-14,0.004763036550113575
ILS,2005-12-14,0.2179598953792502
INR,2005-12-14,0.021901007446342532
JPY,2005-12-14,0.00854335753951303
KRW,2005-12-14,0.000983767830791933
MYR,2005-12-14,0.2646202699126753
NOK,2005-12-14,0.15132255916712065
NZD,2005-12-14,0.7071135624381276
PLN,2005-12-14,0.3136369338853343
RUB,2005-12-14,0.034922297887200984
SAR,2005-12-14,0.2666453350398635
SEK,2005-12-14,0.1274924779438013
SGD,2005-12-14,0.5990534954771461
THB,2005-12-14,0.02438132390588809
TRY,2005-12-14,0.7434944237918216
TWD,2005-12-14,0.02997377294866992
USD,2005-12-14,1.0
ZAR,2005-12-14,0.15841584158415842
AUD,2005-12-15,0.7479991024010771
CAD,2005-12-15,0.8634832915983076
CHF,2005-12-15,0.7749535027898327
CNY,2005-12-15,0.1238927089140804
CZK,2005-12-15,0.041309511515026334
DKK,2005-12-15,0.16036949130797354
EUR,2005-12-15,1.1951692524682649
GBP,2005-12-15,1.7630465444287728
HKD,2005-12-15,0.1289906481780071
HUF,2005-12-15,0.004730424910417578
ILS,2005-12-15,0.2177700348432056
INR,2005-12-15,0.022075055187637967
JPY,2005-12-15,0.008577064928381508
KRW,2005-12-15,0.0009876543209876543
MYR,2005-12-15,0.2647603918453799
NOK,2005-12-15,0.15026070231852265
NZD,2005-12-15,0.6930967563071805
PLN,2005-12-15,0.3112549800796813
RUB,2005-12-15,0.03488574917146345
SAR,2005-12-15,0.2666382252559727
SEK,2005-12-15,0.12630089926240273
SGD,2005-12-15,0.5993407252022774
THB,2005-12-15,0.02442002442002442
TRY,2005-12-15,0.741399762752076
TWD,2005-12-15,0.030099629774553775
USD,2005-12-15,1.0
ZAR,2005-12-15,0.15562991206909968
AUD,2005-12-16,0.7431076763022962
CAD,2005-12-16,0.8647526807333102
CHF,2005-12-16,0.7749535027898327
CNY,2005-12-16,0.12389117399276475
CZK,2005-12-16,0.041371720773982164
DKK,2005-12-16,0.1610461558282604
EUR,2005-12-16,1.2004608294930874
GBP,2005-12-16,1.7724211272598367
HKD,2005-12-16,0.1289856567949644
HUF,2005-12-16,0.004745602487455
ILS,2005-12-16,0.2183263105036788
INR,2005-12-16,0.02212389380530973
JPY,2005-12-16,0.008636324380343726
